"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"14418","IFN2","27_1187_IFN2",27,48,21,32.0182152777778,1428.8577113139,16.1925742574257,8.50866336633663,16.8911464740532,10
"14419","IFN2","27_1190_IFN2",30,18,21,14.6574534722222,293.552450591718,24.8897590361446,9.40963855421687,25.2139836178165,10.3125
"14421","IFN2","27_1192_IFN2",25,18,21,28.8358423611111,1414.71060526129,15.745625,8.16375,16.1097045674339,9.53225806451613
"14430","IFN2","27_1201_IFN2",30,18,21,30.8811395833333,1584.47587789265,15.0297991071429,6.89285714285714,15.7528414741255,8.36764705882353
"14432","IFN2","27_1207_IFN2",23,53,21,9.2381875,795.774715459477,11.832,5.48,12.1577547269222,7
"14466","IFN2","27_1277_IFN2",30,20,21,28.4729277777778,1280.31309776147,16.3334254143646,7.85911602209945,16.8272454027777,9.03448275862069
"14562","IFN2","27_1626_IFN2",25,35,21,20.055175,1432.39448782706,12.8488888888889,6.13333333333333,13.351712332964,7.375
"14563","IFN2","27_1630_IFN2",25,18,21,4.4116,763.943726841098,8.51666666666667,4,8.57476919028534,4.5
"14570","IFN2","27_1649_IFN2",32,18,21,23.0375125,1718.87338539247,12.8018518518519,6.9537037037037,13.0632400552367,8.25
"14575","IFN2","27_1667_IFN2",28,18,21,29.1149215277778,2051.33037762887,13.0271551724138,8.98275862068966,13.4429649272206,11.4354838709677
"14576","IFN2","27_1679_IFN2",25,18,21,6.674725,827.605704077856,10.0269230769231,5.09615384615385,10.1335125658913,6.08333333333333
"14586","IFN2","27_1687_IFN2",25,18,21,38.3394069444444,2751.61212723321,12.8786632390746,7.12082262210797,13.3193842254047,8.7258064516129
"14587","IFN2","27_1690_IFN2",29,18,21,38.6986340277778,1400.56349920868,18.5513888888889,10.1174242424242,18.7564859152478,11.3125
"14588","IFN2","27_1691_IFN2",30,18,21,30.3480548611111,1269.70276822201,16.7566852367688,10.5473537604457,17.4449390462876,12.9375
