"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"482714",25,975,2,24," 7.2",21,171,163,7.5,2,2,"","IFN2","25_975","25_975_2","IFN2_25_975_2",16.7,31.8309886183791,219.039693789914
"482715",25,975,3,37,"13.1",21,230,237,8.5,2,2,"","IFN2","25_975","25_975_3","IFN2_25_975_3",23.35,14.1471060526129,428.216750142965
"482716",25,975,4,46," 4.5",21,163,156,7,3,2,"","IFN2","25_975","25_975_4","IFN2_25_975_4",15.95,31.8309886183791,199.807256263719
"482717",25,975,5,50," 6.6",21,159,154,8,2,2,"","IFN2","25_975","25_975_5","IFN2_25_975_5",15.65,31.8309886183791,192.361681674712
"482718",25,975,6,54," 6.4",21,127,128,7.5,2,2,"","IFN2","25_975","25_975_6","IFN2_25_975_6",12.75,31.8309886183791,127.676288937298
"482719",25,975,7,67," 5.3",21,156,153,8,2,2,"1","IFN2","25_975","25_975_7","IFN2_25_975_7",15.45,31.8309886183791,187.476505098379
"482720",25,975,8,117,"11.8",21,229,229,8,2,2,"","IFN2","25_975","25_975_8","IFN2_25_975_8",22.9,14.1471060526129,411.870650867256
"482721",25,975,9,140," 7.7",21,199,194,9,2,2,"","IFN2","25_975","25_975_9","IFN2_25_975_9",19.65,31.8309886183791,303.259902346431
"482722",25,975,10,145," 3.0",73,156,159,8.5,2,2,"9","IFN2","25_975","25_975_10","IFN2_25_975_10",15.75,31.8309886183791,194.82783190778
"482723",25,975,11,154," 3.5",73,139,132,9,2,2,"9","IFN2","25_975","25_975_11","IFN2_25_975_11",13.55,31.8309886183791,144.20106629518
"482724",25,975,12,161," 9.6",21,193,178,9,2,2,"","IFN2","25_975","25_975_12","IFN2_25_975_12",18.55,31.8309886183791,270.25747152047
"482725",25,975,13,167," 8.6",21,150,152,9,2,2,"","IFN2","25_975","25_975_13","IFN2_25_975_13",15.1,31.8309886183791,179.078635236252
"482726",25,975,14,179," 9.7",21,196,197,9,2,2,"","IFN2","25_975","25_975_14","IFN2_25_975_14",19.65,31.8309886183791,303.259902346431
"482727",25,975,15,186," 6.6",21,139,138,8.5,2,2,"","IFN2","25_975","25_975_15","IFN2_25_975_15",13.85,31.8309886183791,150.657039198307
"482728",25,975,16,198," 6.0",21,189,185,9.5,2,2,"","IFN2","25_975","25_975_16","IFN2_25_975_16",18.7,31.8309886183791,274.645883758454
"482729",25,975,17,206," 2.1",21,162,162,7.5,2,2,"","IFN2","25_975","25_975_17","IFN2_25_975_17",16.2,31.8309886183791,206.119894002026
"482730",25,975,18,231," 4.7",21,132,103,8.5,2,3,"2","IFN2","25_975","25_975_18","IFN2_25_975_18",11.75,127.323954473516,108.43403393406
"482731",25,975,19,232," 5.0",21,80,79,7,3,3,"","IFN2","25_975","25_975_19","IFN2_25_975_19",7.95,127.323954473516,49.6391274221272
"482732",25,975,20,236," 8.5",21,141,149,7.5,2,2,"","IFN2","25_975","25_975_20","IFN2_25_975_20",14.5,31.8309886183791,165.129963854314
"482733",25,975,21,247," 5.3",21,124,135,8,2,2,"","IFN2","25_975","25_975_21","IFN2_25_975_21",12.95,31.8309886183791,131.713235497161
"482734",25,975,22,253," 5.1",21,168,168,7.5,2,2,"","IFN2","25_975","25_975_22","IFN2_25_975_22",16.8,31.8309886183791,221.670777637296
"482735",25,975,23,291,"11.7",21,227,227,9,2,2,"1","IFN2","25_975","25_975_23","IFN2_25_975_23",22.7,14.1471060526129,404.707819617071
"482736",25,975,24,308," 9.7",21,185,195,7.5,2,2,"","IFN2","25_975","25_975_24","IFN2_25_975_24",19,31.8309886183791,283.528736986479
"482737",25,975,25,333,"12.1",21,222,231,7.5,2,2,"","IFN2","25_975","25_975_25","IFN2_25_975_25",22.65,14.1471060526129,402.926929281567
"482738",25,975,26,336," 9.1",21,133,140,5,2,5,"","IFN2","25_975","25_975_26","IFN2_25_975_26",13.65,31.8309886183791,146.337349299621
"482739",25,975,27,381,"12.5",21,227,224,8,2,2,"","IFN2","25_975","25_975_27","IFN2_25_975_27",22.55,14.1471060526129,399.376929583011
"482740",25,975,28,382," 8.3",21,125,125,6.5,2,3,"","IFN2","25_975","25_975_28","IFN2_25_975_28",12.5,31.8309886183791,122.718463030851
"482741",25,976,1,3," 9.7",21,128,132,7.5,2,2,"","IFN2","25_976","25_976_1","IFN2_25_976_1",13,31.8309886183791,132.732289614169
"482742",25,976,2,5," 2.4",21,159,153,7.2,2,2,"","IFN2","25_976","25_976_2","IFN2_25_976_2",15.6,31.8309886183791,191.134497044403
