,Provincia,Estadillo,Clase,Subclase,TREE_ID_IFN3_2,TREE_ID_IFN3,TREE_ID_IFN2,rumbo,distancia,DRed,specie,dbh_1,dbh_2,height,quality,shape,special_param,Agente,Import,Elemento,Compara,INVENTORY_ID,PLOT_ID,TREE_ID,IFN_TREE_ID,IFN3_ID,dbh,expan,basal_area
711356,25,647,A,1,17,17,5,220,4,NA,21,283,279,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_17,IFN3_25_647_5,25_647_A_1,28.1,14.1471060526129,620.158243800259
711357,25,647,A,1,18,18,0,223,15.6,NA,21,222,262,11.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_18,IFN3_25_647_0,25_647_A_1,24.2,14.1471060526129,459.960580412082
711358,25,647,A,1,19,19,0,237,13.3,NA,21,286,312,11.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_19,IFN3_25_647_0,25_647_A_1,29.9,14.1471060526129,702.153812058953
711359,25,647,A,1,20,20,6,252,9.3,NA,21,234,235,10,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_20,IFN3_25_647_6,25_647_A_1,23.45,14.1471060526129,431.892413547665
711360,25,647,A,1,21,21,0,256,14.4,NA,21,254,250,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_21,IFN3_25_647_0,25_647_A_1,25.2,14.1471060526129,498.759249683916
711361,25,647,A,1,22,22,0,264,15.5,NA,21,230,238,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_22,IFN3_25_647_0,25_647_A_1,23.4,14.1471060526129,430.052618349907
711362,25,647,A,1,23,23,0,268,10.7,NA,21,234,245,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_23,IFN3_25_647_0,25_647_A_1,23.95,14.1471060526129,450.506350020185
711363,25,647,A,1,24,24,7,274,8.1,NA,21,290,289,12,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_24,IFN3_25_647_7,25_647_A_1,28.95,14.1471060526129,658.24416423881
711364,25,647,A,1,25,25,0,297,14.4,NA,21,268,258,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_25,IFN3_25_647_0,25_647_A_1,26.3,14.1471060526129,543.252055640381
711365,25,647,A,1,26,26,8,305,8.8,NA,21,252,247,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_26,IFN3_25_647_8,25_647_A_1,24.95,14.1471060526129,488.91232021032
711366,25,647,A,1,27,27,9,307,6,NA,21,198,209,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_27,IFN3_25_647_9,25_647_A_1,20.35,31.8309886183791,325.25105092156
711367,25,647,A,1,28,28,10,308,7.4,NA,21,225,214,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_28,IFN3_25_647_10,25_647_A_1,21.95,31.8309886183791,378.406798620299
711368,25,647,A,1,29,29,0,314,13,NA,21,238,238,11.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_29,IFN3_25_647_0,25_647_A_1,23.8,14.1471060526129,444.880935674851
711369,25,647,A,1,30,30,0,314,11.9,NA,21,225,225,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_30,IFN3_25_647_0,25_647_A_1,22.5,14.1471060526129,397.607820219958
711370,25,647,A,1,31,31,11,314,3.9,NA,21,316,308,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_31,IFN3_25_647_11,25_647_A_1,31.2,14.1471060526129,764.537988177612
