"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"719547",25,965,"A","1",17,15,0,292,9.9,NA,21,164,171,8,2,2,42,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_17","IFN3_25_965_0","25_965_A_1",16.75,31.8309886183791,220.353272218197
"719548",25,965,"A","1",18,16,0,298,8.4,NA,21,132,143,7.5,2,2,42,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_18","IFN3_25_965_0","25_965_A_1",13.75,31.8309886183791,148.48934026733
"719549",25,965,"A","1",19,17,0,306,7.3,NA,21,160,144,8,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_19","IFN3_25_965_0","25_965_A_1",15.2,31.8309886183791,181.458391671346
"719550",25,965,"A","1",20,18,0,331,10.1,NA,21,199,193,9,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_20","IFN3_25_965_0","25_965_A_1",19.6,31.8309886183791,301.718558450764
"719551",25,965,"A","1",21,19,0,332,14.8,NA,21,249,234,8,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_21","IFN3_25_965_0","25_965_A_1",24.15,14.1471060526129,458.061880352068
"719552",25,965,"A","1",22,20,0,343,13.2,NA,21,249,245,11,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_22","IFN3_25_965_0","25_965_A_1",24.7,14.1471060526129,479.163565507149
"719553",25,965,"A","1",23,21,8,350,4.3,NA,21,204,203,8.5,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_23","IFN3_25_965_8","25_965_A_1",20.35,31.8309886183791,325.25105092156
"719554",25,965,"A","1",24,22,9,361,8.6,NA,21,227,239,9,2,2,42,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_24","IFN3_25_965_9","25_965_A_1",23.3,14.1471060526129,426.384808926841
"719555",25,965,"A","1",25,23,10,371,4.1,NA,21,176,167,7,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_25","IFN3_25_965_10","25_965_A_1",17.15,31.8309886183791,231.003271313866
"719556",25,965,"A","1",26,24,0,386,8.4,NA,21,187,173,7.5,2,2,42,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_26","IFN3_25_965_0","25_965_A_1",18,31.8309886183791,254.469004940773
"719557",25,965,"A","1",27,25,11,396,4.2,NA,21,146,144,7,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_27","IFN3_25_965_11","25_965_A_1",14.5,31.8309886183791,165.129963854314
"719558",25,965,"A","1",28,26,0,397,8.8,NA,21,147,135,8.5,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_28","IFN3_25_965_0","25_965_A_1",14.1,31.8309886183791,156.145008865047
