"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"482997",25,986,26,297," 3.6",21,177,185,12,2,2,"","IFN2","25_986","25_986_26","IFN2_25_986_26",18.1,31.8309886183791,257.304292310638
"482998",25,986,27,330," 9.1",21,320,290,14.5,2,2,"","IFN2","25_986","25_986_27","IFN2_25_986_27",30.5,14.1471060526129,730.616641500476
"482999",25,986,28,344,"14.4",21,254,285,16,2,2,"","IFN2","25_986","25_986_28","IFN2_25_986_28",26.95,14.1471060526129,570.436649570975
"483000",25,986,29,348,"13.2",21,344,347,16.5,2,2,"","IFN2","25_986","25_986_29","IFN2_25_986_29",34.55,14.1471060526129,937.531751142942
"483001",25,986,30,366," 1.4",21,104,104,10,2,2,"","IFN2","25_986","25_986_30","IFN2_25_986_30",10.4,127.323954473516,84.948665353068
"483002",25,986,31,385," 7.2",21,309,314,15,2,2,"","IFN2","25_986","25_986_31","IFN2_25_986_31",31.15,14.1471060526129,762.08950940322
"486416",25,1150,1,5," 7.8",21,125,125,6,2,3,"","IFN2","25_1150","25_1150_1","IFN2_25_1150_1",12.5,31.8309886183791,122.718463030851
"486417",25,1150,2,11," 2.7",21,84,80,4,2,3,"2","IFN2","25_1150","25_1150_2","IFN2_25_1150_2",8.2,127.323954473516,52.8101725068444
"486418",25,1150,3,14," 2.7",21,80,78,4,2,3,"2","IFN2","25_1150","25_1150_3","IFN2_25_1150_3",7.9,127.323954473516,49.0166993776348
"486419",25,1150,4,30,"15.7",21,234,234,11.5,2,2,"","IFN2","25_1150","25_1150_4","IFN2_25_1150_4",23.4,14.1471060526129,430.052618349907
"486420",25,1150,5,44,"15.3",21,248,234,11.5,2,2,"","IFN2","25_1150","25_1150_5","IFN2_25_1150_5",24.1,14.1471060526129,456.167107282872
"486421",25,1150,6,67," 3.5",21,131,130,5.5,2,3,"","IFN2","25_1150","25_1150_6","IFN2_25_1150_6",13.05,31.8309886183791,133.755270721994
"486422",25,1150,7,129," 4.1",21,129,138,5,2,3,"","IFN2","25_1150","25_1150_7","IFN2_25_1150_7",13.35,31.8309886183791,139.975624176102
"486423",25,1150,8,186," 4.6",37,80,85,2.5,2,5,"","IFN2","25_1150","25_1150_8","IFN2_25_1150_8",8.25,127.323954473516,53.4561624962388
"486424",25,1150,9,365,"13.1",21,239,248,7.5,2,2,"","IFN2","25_1150","25_1150_9","IFN2_25_1150_9",24.35,14.1471060526129,465.680242537024
"486425",25,1150,10,394,"14.9",21,313,298,12,3,2,"2","IFN2","25_1150","25_1150_10","IFN2_25_1150_10",30.55,14.1471060526129,733.014069394247
"486426",25,1150,11,396,"15.3",21,302,318,10.5,3,5,"2","IFN2","25_1150","25_1150_11","IFN2_25_1150_11",31,14.1471060526129,754.767635024948
