"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"14774","27_245","26",20502.3125,190.985931710274,26,NA,NA,20502.3125,NA,NA,190.985931710274,NA,NA,2226.57765385562,907.183175623803,2.05023125,190.985931710274,0,127.323954473516,63.6619772367581,0,0,0,0,0,0,11.6583333333333,4.75,11.6911112959091,4.75,2365,27,245,NA,892112,NA,NA,NA,NA,NA,"S",900803,NA,9,1,"0009J06","631","4834",87,13,"5","3","0","0","03",3,4,4,9,1,"90",10,26,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,9,NA,NA,"01",352,NA,"4.75",NA,"IFN2",7,13,26,"19892112",1989,9
"14785","27_2537","26",324422.284722222,1096.4007190775,26,NA,NA,324422.284722222,NA,NA,1096.4007190775,NA,NA,20402.4258326014,13705.0089884688,32.4422284722222,1096.4007190775,0,127.323954473516,381.971863420549,318.309886183791,240.50080289442,28.2942121052258,0,0,0,18.6085483870968,12.5,19.4100092652585,14.5,1865,27,2537,NA,900702,NA,NA,NA,NA,NA,"S",901302,NA,155,1,"0155K10","615","4719",87,58,"3","3","0","0","05",5,3,3,9,1,"90",60,26,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,41,72,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,4,"P414","P412","M112",334,NA,"3.00",NA,"IFN2",2,58,26,"19900702",1990,8
"14788","27_2553","26",8464,127.323954473516,26,NA,NA,8464,NA,NA,127.323954473516,NA,NA,1171.38038115635,509.295817894065,0.8464,127.323954473516,0,127.323954473516,0,0,0,0,0,0,0,9.2,4,9.2,4,1880,27,2553,NA,900702,NA,NA,NA,NA,NA,"S",901302,NA,155,1,"0155K10","616","4716",87,58,"3","3","0","0","05",5,1,2,9,1,"90",20,28,0,9,4,2,NA,26,NA,1,NA,2,NA,NA,NA,NA,NA,NA,28,1,2,7,26,3,1,NA,NA,NA,NA,NA,28,26,NA,NA,NA,NA,NA,2,1,"W","14",NA,NA,NA,"1",1,2,3,1,NA,4,0,NA,NA,"01",125,NA,"2.00",NA,"IFN2",7,58,26,"19900702",1990,8
"14799","27_258","26",30949.5555555556,155.618166578742,26,NA,NA,30949.5555555556,NA,NA,155.618166578742,NA,NA,2025.86558673417,1195.43046144579,3.09495555555556,155.618166578742,0,127.323954473516,0,0,14.1471060526129,0,14.1471060526129,0,0,13.0181818181818,7.68181818181818,15.9130021166226,7.68181818181818,2376,27,258,NA,892112,NA,NA,NA,NA,NA,"S",900803,NA,9,1,"0009J06","632","4833",87,19,"5","3","0","0","02",2,3,4,9,1,"80",80,26,0,9,3,2,NA,26,NA,1,NA,4,NA,NA,NA,NA,NA,NA,26,2,1,7,26,3,1,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,1,5,"G","16",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"G812",54,NA,"7.00",NA,"IFN2",7,19,26,"19892112",1989,9
"14808","27_2700","26",119992.898055556,154.769340215585,26,54,57,119992.898055556,109717.6875,66049.41,154.769340215585,986.760647169751,496.70489350724,24754.7971567938,19412.5881898652,35.0137724722222,1758.48528233979,0,1145.91559026165,318.309886183791,127.323954473516,56.5884242104517,56.5884242104517,14.1471060526129,14.1471060526129,25.4647908947033,14.0773411102172,11.0393805309735,15.9222758253261,13.6307692307692,2024,27,2700,NA,901901,NA,NA,NA,NA,NA,"S",901402,NA,156,1,"0156M04","630","4708",87,31,"6","6","0","0","05",5,4,4,9,1,"70",70,26,0,4,4,4,NA,41,NA,3,NA,4,NA,54,NA,2,NA,3,26,3,1,NA,41,3,6,NA,54,3,6,NA,26,41,57,54,72,NA,NA,2,6,"G","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"01",132,NA,"6.25",NA,"IFN2",7,31,26,"19901901",1990,8
"14814","27_2756","26",40207.3888888889,42.4413181578388,26,41,NA,40207.3888888889,12859.56,NA,42.4413181578388,5.09295817894065,NA,1760.06975821768,875.70586465674,5.30669488888889,47.5342763367794,0,0,0,0,0,14.1471060526129,28.2942121052258,0,5.09295817894065,37.027380952381,18.422619047619,37.7019380264779,18.422619047619,2078,27,2756,NA,900902,NA,NA,NA,NA,NA,"S",901502,NA,188,1,"0188K07","610","4701",87,41,"6","6","0","0","04",4,4,5,9,1,"70",20,26,4,6,3,4,43,41,6,3,4,4,NA,NA,NA,NA,NA,NA,26,3,1,NA,41,3,6,NA,NA,NA,NA,NA,26,41,54,68,57,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"G412",140,NA,"13.00",NA,"IFN2",4,41,26,"19900902",1990,8
"14824","27_2770","26",49141.75,318.309886183791,26,NA,NA,49141.75,NA,NA,318.309886183791,NA,NA,4389.49333047447,2435.070629306,4.914175,318.309886183791,0,127.323954473516,159.154943091895,31.8309886183791,0,0,0,0,0,13.79,7.65,14.0202353760556,7.625,2090,27,2770,NA,900902,NA,NA,NA,NA,NA,"S",901502,NA,188,1,"0188L09","616","4696",87,59,"7","7","0","0","06",6,2,2,9,1,"70",40,26,3,8,4,3,26,26,7,2,3,2,NA,NA,NA,NA,NA,NA,26,1,1,13,26,2,1,8,NA,NA,NA,NA,26,43,41,NA,NA,NA,NA,2,2,"W","19",NA,NA,NA,"1",1,1,NA,0,NA,4,2,NA,NA,"G404",20,NA,"02.00",NA,"IFN2",13,59,26,"19900902",1990,8
"14825","27_2788","26",294666.416666667,1018.59163578813,26,NA,NA,294666.416666667,NA,NA,1018.59163578813,NA,NA,18685.8513519425,15070.2047225459,29.4666416666667,1018.59163578813,0,254.647908947033,190.985931710274,318.309886183791,183.912378683968,70.7355302630646,0,0,0,18.3447916666667,14.7951388888889,19.1920040859034,17.1875,2105,27,2788,NA,900902,NA,NA,NA,NA,NA,"S",901502,NA,189,1,"0189J06","635","4706",87,50,"5","5","0","0","05",5,4,5,9,1,"80",80,26,0,0,4,4,26,NA,0,NA,3,NA,NA,NA,NA,NA,NA,NA,26,1,2,35,NA,NA,NA,NA,NA,NA,NA,NA,26,41,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"P412",139,NA,"11.50",NA,"IFN2",35,50,26,"19900902",1990,8
"14827","27_2789","26",400454.763888889,1952.30063526058,26,NA,NA,400454.763888889,NA,NA,1952.30063526058,NA,NA,30809.2138837291,20483.2411759269,40.0454763888889,1952.30063526058,0,381.971863420549,923.098669932993,604.788783749202,42.4413181578388,0,0,0,0,15.7809782608696,10.491847826087,16.1606358279097,12,2106,27,2789,NA,900902,NA,NA,NA,NA,NA,"S",901502,NA,189,1,"0189J07","637","4706",87,50,"6","6","0","0","04",4,4,5,9,1,"80",80,26,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,26,68,46,NA,NA,NA,NA,3,8,"G","20",NA,NA,NA,"1",1,1,NA,0,NA,2,0,NA,NA,"01",189,NA,"10.50",NA,"IFN2",30,50,26,"19900902",1990,8
"14828","27_2801","26",311025.888888889,2079.6245897341,26,NA,NA,311025.888888889,NA,NA,2079.6245897341,NA,NA,27505.5109427927,20407.2004808941,31.1025888888889,2079.6245897341,0,1018.59163578813,668.45076098596,350.14087480217,42.4413181578388,0,0,0,0,13.2261904761905,9.81292517006803,13.7994207706498,13.0833333333333,2118,27,2801,NA,900902,NA,NA,NA,NA,NA,"S",901502,NA,189,1,"0189J07","637","4705",87,50,"3","3","0","0","04",4,4,5,9,1,"90",60,26,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,3,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"G412",279,387,"8.50","4.00","IFN2",30,50,26,"19900902",1990,8
