"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"8431","IFN3","15_551_A_6C_IFN3",2,50,26,1.677125,159.154943091895,11.38,13.2,11.5831774569848,13.2
"8432","IFN3","15_552_A_4_IFN3",5,50,26,3.28827777777778,74.2723067762178,23.1190476190476,10.5952380952381,23.742467477176,10.5952380952381
"8447","IFN3","15_560_A_4_IFN3",4,50,26,8.86998680555556,569.42101861767,13.282298136646,7.15962732919255,14.083149814429,10.4857142857143
"8494","IFN3","15_599_A_1_IFN3",15,50,26,16.4522194444444,693.208196578033,16.6862244897959,9.14285714285714,17.3834295364574,10.4852941176471
"8497","IFN3","15_60_A_4_IFN3",3,61,26,3.95856388888889,219.2801438155,14.5274193548387,10.6612903225806,15.1608738789752,10.6612903225806
"8524","IFN3","15_617_A_1_IFN3",3,18,26,1.96,5.09295817894065,70,23,70,23
"8527","IFN3","15_62_A_4_IFN3",7,61,26,12.8312402777778,1000.90775322236,12.3144876325088,14.4770318021201,12.775924935226,17.4838709677419
"8555","IFN3","15_66_A_4_IFN3",5,61,26,10.804425,742.2986545806,11.8579759862779,15.8301886792453,13.6133983290426,20.0783132530121
"8558","IFN3","15_67_A_6C_IFN3",5,61,26,1.43890625,95.4929658551372,13.85,13.3333333333333,13.8511431537858,13.3333333333333
"8571","IFN3","15_677_A_1_IFN3",10,40,26,15.4976638888889,1488.98291203751,10.6503562945368,8.36935866983373,11.5118022676265,17.4705882352941
"8580","IFN3","15_68_A_6C_IFN3",2,61,26,1.95124513888889,60.1252007236049,19.4911764705882,17.8823529411765,20.3274408851969,17.8823529411765
"8629","IFN3","15_701_A_1_IFN3",3,68,26,1.1025,14.1471060526129,31.5,22,31.5,22
"8671","IFN3","15_72_A_1_IFN3",8,61,26,4.44031875,318.309886183791,13.295,14.15,13.3271433548229,14.375
"8718","IFN3","15_74_A_4_IFN3",4,61,26,3.308674,264.833825304914,10.3576923076923,11.0096153846154,12.6123298951707,11.4814814814815
"8747","IFN3","15_752_A_4_IFN3",7,68,26,4.847275,459.78094670992,10.6961538461538,6.51923076923077,11.5858634019753,8.0948275862069
"8750","IFN3","15_753_A_4_IFN3",7,14,26,5.6324625,291.571855744352,14.0065502183406,10.7620087336245,15.6830820037189,16.1645569620253
"8762","IFN3","15_757_A_4_IFN3",2,14,26,4.27545902777778,201.596261249734,14.5885964912281,12.5263157894737,16.4325588764523,12.5263157894737
"8765","IFN3","15_758_A_3E_IFN3",2,14,26,5.85859375,318.309886183791,15.205,17.3,15.3082902376457,17.5
"8825","IFN3","15_790_A_4_IFN3",2,29,26,0.58905625,31.8309886183791,15.35,11.5,15.35,11.5
"8850","IFN3","15_804_A_6C_IFN3",8,29,26,17.0517652777778,1000.90775322236,14.2067137809187,17.7667844522968,14.7279637151354,19.9354838709677
"8934","IFN3","15_881_A_4_IFN3",25,19,26,18.7644576388889,371.361533881089,24.4957142857143,12.6809523809524,25.364400906257,13.875
"8936","IFN3","15_882_A_4_IFN3",20,19,26,4.19425277777778,74.2723067762178,25.7476190476191,10.7619047619048,26.8144506172467,10.7619047619048
"8942","IFN3","15_891_A_4_IFN3",20,19,26,16.6477755,420.451991883656,20.5701547779273,10.5975773889637,22.4530300451845,15.6683937823834
"8943","IFN3","15_893_A_4_IFN3",35,41,26,14.3065590277778,431.486734604694,17.5110655737705,9.12295081967213,20.5465510048943,19.3125
"8946","IFN3","15_894_A_4_IFN3",45,19,26,12.7812605555556,69.037877536751,48.030737704918,17.9672131147541,48.5510009435743,17.9672131147541
"8949","IFN3","15_896_A_1_IFN3",20,14,26,9.31062222222222,258.184685460186,18.3095890410959,11.2191780821918,21.4278783971428,14.3513513513514
"8953","IFN3","15_902_A_1_IFN3",25,19,26,6.68366055555556,43.5730866420478,42.6292207792208,21.6363636363636,44.1929597877897,21.6363636363636
"8955","IFN3","15_903_A_6C_IFN3",15,19,26,12.2525291666667,286.478897565412,23.1407407407407,10.720987654321,23.3357419391767,11.825
"8956","IFN3","15_904_A_4_IFN3",15,19,26,1.525,45.978094670992,18.6923076923077,12.1538461538462,20.5501263331322,12.1538461538462
"8961","IFN3","15_909_A_4_IFN3",20,41,26,13.3878166666667,675.524314012267,13.9418848167539,9.04188481675393,15.8850814136511,15.1724137931034
"8964","IFN3","15_910_A_1_IFN3",35,41,26,34.6351106944444,334.154644962717,34.4974809483489,18.589966130398,36.3278418366182,22.502808988764
"8966","IFN3","15_911_A_4_IFN3",20,41,26,14.2811701388889,242.056984560207,26.0810929281122,15.624780829924,27.4080505446501,17.6413043478261
"8968","IFN3","15_912_A_4_IFN3",30,19,26,24.0787685277778,342.218495412706,28.560500206697,16.0310045473336,29.9309468989105,18.0161290322581
"8971","IFN3","15_913_A_4_IFN3",30,19,26,14.4038055555556,161.842893241892,33.2388111888112,17.9510489510489,33.6625388373934,18.3279569892473
"8973","IFN3","15_914_A_1_IFN3",20,19,26,29.5373583333333,1018.59163578813,18.0284722222222,12.5295138888889,19.2150196244153,17.125
"8975","IFN3","15_917_A_4_IFN3",15,19,26,9.81435,159.154943091895,27.5888888888889,15.9333333333333,28.020492501025,16.625
"8978","IFN3","15_918_A_1_IFN3",7,41,26,8.15038194444444,555.273912565057,12.5891719745223,10.0127388535032,13.670689040919,14.4193548387097
"8980","IFN3","15_919_A_1_IFN3",13,41,26,17.1683444444444,597.715230722896,17.9319526627219,10.5562130177515,19.1237081398392,16.4705882352941
"8982","IFN3","15_920_A_1_IFN3",25,41,26,26.5850708333333,456.951525499397,24.8095665634675,15.047213622291,27.216915468438,20.1794871794872
"8983","IFN3","15_921_A_6C_IFN3",25,41,26,6.89600069444444,601.252007236049,11.5197058823529,10.6558823529412,12.0844096207615,14.1209677419355
"8986","IFN3","15_922_A_4_IFN3",20,41,26,2.60198611111111,60.1252007236049,22.4764705882353,9.52941176470588,23.473577135354,9.52941176470588
"8989","IFN3","15_923_A_4_IFN3",25,19,26,15.7879854166667,505.759041380912,17.2590909090909,9.25174825174825,19.9363931724691,16.25
"8994","IFN3","15_926_A_4_IFN3",10,41,26,18.4060701388889,643.693325393888,18.4365384615385,18.3527472527473,19.0807786171677,18.8172413793103
