"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"8982","IFN3","15_920_IFN3",25,41,26,26.5850708333333,456.951525499397,24.8095665634675,15.047213622291,27.216915468438,20.1794871794872
"8983","IFN3","15_921_IFN3",25,41,26,6.89600069444444,601.252007236049,11.5197058823529,10.6558823529412,12.0844096207615,14.1209677419355
"8986","IFN3","15_922_IFN3",20,41,26,2.60198611111111,60.1252007236049,22.4764705882353,9.52941176470588,23.473577135354,9.52941176470588
"8989","IFN3","15_923_IFN3",25,19,26,15.7879854166667,505.759041380912,17.2590909090909,9.25174825174825,19.9363931724691,16.25
"8997","IFN3","15_929_IFN3",30,41,26,32.9333145555556,759.558123964788,22.1725088470851,14.3633823803315,23.4959102102934,18.5376344086021
"9013","IFN3","15_938_IFN3",25,41,26,17.54365625,244.037579407573,29.5760869565217,12.6449275362319,30.2542756590234,13.25
"9014","IFN3","15_939_IFN3",30,41,26,15.7720138888889,198.059484736581,31.4964285714286,17.4642857142857,31.8420347743581,19.0625
"9026","IFN3","15_948_IFN3",8,41,26,19.4720530833333,1087.34657120383,13.5445029924538,11.4294821753838,15.0999996445761,18.4402173913043
"9030","IFN3","15_951_IFN3",8,5,26,6.11138055555555,297.089227104871,13.8452380952381,10.3571428571429,16.1838286423148,15.5
"9031","IFN3","15_955_IFN3",20,41,26,33.4987073611111,477.32335821516,28.0016449318317,18.8307646710136,29.892534562242,26.1878453038674
"9036","IFN3","15_957_IFN3",30,5,26,23.7171134722222,254.506437886506,30.6391050583658,16.0755975541968,34.4458248344696,20.1933701657459
"9053","IFN3","15_967_IFN3",30,41,26,42.7277124166667,731.829796101666,22.9108544364972,12.3748308525034,27.2649582165349,23.8502673796791
"9062","IFN3","15_972_IFN3",20,41,26,17.3732174444444,375.181252515295,21.4405354449472,13.2733785822021,24.2814502717641,20.6462765957447
